Name,Material,Sales Contact,Contact Number,Email,Address,City,State,Latitude,Longitude,pin_color,Location_type,notes,service
Wooster Motor Ways,,,330-264-7690,,3501 West Old Lincoln Way,Wooster,OH,40.7993199,-81.9617845,#F54975,,,Pneumatic Trucking
Wayne W Sell,,Tom Weleski,800-444-4997,,236 Winfield Road,Sarver,PA,40.759788,-79.783791,#F54976,,,Pneumatic Trucking
Journey Trucking,,,888-726-9979,info@journeytrucking.com,11418 N Dixie Drive,Vandalia,OH,39.9143935,-84.1989871,#F54977,,,Pneumatic Trucking
Tripp Trucking--call to verify,,Jeffrey Bernard Tripp,706-453-4165,,1030 Charity Drive,Greensboro,GA,33.5722922,-83.1950866,#F54978,,,Pneumatic Trucking
Whitetail Trucking--call to verify,,,757-342-6654,,15203 Wyatt CT,Carrollton,VA,36.9291052,-76.5510709,#F54979,,,Pneumatic Trucking
US Bulk Transport,,,800-609-6611,info@usbulktransport.com,205 Pennbriar Drive,Erie,PA,42.0740083,-80.0390704,#F54980,,,Pneumatic Trucking
Beelman Truck CO,,,877-945-6688,,1 Racehorse Drive,East St. Louis,IL,39.1247,-88.542062,#F54981,,,Pneumatic Trucking
Bowman Logistics,,,240-625-2799,,10228 Governor Lane Boulevard Suite #3006 ,Williamsport,MD,39.596653,-77.804723,#F54982,,,Pneumatic Trucking
Crystal Trucking--call to verify,,,847-553-1592,,1491 S 6th Avenue,Des Plaines,IL,42.025871,-87.9076608,#F54983,,,Pneumatic Trucking
ECI Trucking,,,,,,,,39.7837304,-100.445882,#F54984,,,Pneumatic Trucking
Sams Hauling and Trucking,,,865-982-8011,,2394 Wildwood Rd,Maryville,TN,35.784281,-83.943277,#F54985,,,Pneumatic Trucking
McDowell ,,,307-797-4278,,,,,39.7837304,-100.445882,#F54986,,,Pneumatic Trucking
Global Construction Transport,,Darrell Simmons,317-667-3350,,2066 S Raber Road,Columbia City,IN,41.131657,-85.454366,#F54987,,,Pneumatic Trucking
Henderson Trucking,,Mike,740-369-6100,mike@hendersontrucking.com,124 Henderson CT,Delaware,OH,40.2815072,-83.087251,#F54988,,,Pneumatic Trucking
Bulk Transit,,,614-873-4632,info@bulktransit.com,7177 Industrial Parkway,Plain City,OH,40.114807,-83.187372,#F54989,,,Pneumatic Trucking
Khunle Trucking,,,440-564-7168,,14905 Cross Creek Pkwy,Newbury,OH,41.4614912,-81.2685002,#F54990,,,Pneumatic Trucking
Predator,,,1-800-235-5624,,3181 Trumbull Avenue,McDonald,OH,41.157268,-80.736376,#F54991,,,Pneumatic Trucking
R&J Trucking,,,330-758-0841,,8063 Southern Blvd.,Boardman,OH,41.0045573,-80.6533587,#F54992,,,Pneumatic Trucking
Bulkmatic,,,800-535-8505,,2001 North Cline Avenue,Griffith,IN,41.5300744,-87.4325106,#F54993,,,Pneumatic Trucking
RSA Transport,,,724-545-1407,,1131 Freeport Road,Kittanning ,PA,40.769629,-79.639452,#F54994,,,Pneumatic Trucking
SEFA,,Kerry Burke,803-530-2825,kburke@sefagroup.com,9639 Highmarket Street,Georgetown,SC,33.3687424,-79.2813641,#F54995,,,Pneumatic Trucking
DRI Bulk Transport Company,,,,,8063 Southern Blvd.,Youngstown,OH,41.0635833,-80.6567926,#F54996,,,Pneumatic Trucking
SRS,,,,,,,,39.7837304,-100.445882,#F54997,,,Pneumatic Trucking
Sids Trucking,,,,,,,,39.7837304,-100.445882,#F54998,,,Pneumatic Trucking
Pickett Concrete,,Jim Galloway,7405329123,pickettconcrete@frontier.com,4127 Westward Avenue,Columbus,OH,39.9709161,-83.1132169,#F54999,,,Pneumatic Trucking
United Rentals - Columbiana,,Timothy Dohn,(330) 482-1100,,44691 State Route 14,Columbiana,OH,40.8787137,-80.5987213,#2F4A6D,,,Equipment Rental
United Rentals - East Liverpool,,Timothy Dohn,(330) 385-5381,,16695 Lisbon St,E Liverpool,OH,40.6348265,-80.5920179,#2F4A6D,,,Equipment Rental
United Rentals - Marietta,,Tracey Ayers,(740) 373-5161,,1205 Pike St,Marietta,OH,39.4108387,-81.4308085,#2F4A6D,,,Equipment Rental
United Rentals - Marietta,,Tracey Ayers,(740) 373-3292,,18417 Sate Route 7,Marietta,OH,39.392139,-81.404578,#2F4A6D,,,Equipment Rental
United Rentals - Perrysburg,,Michael Lowell,(419) 874-3141,,620 Eckel Rd,Perrysburg,OH,41.5446752,-83.6445793,#2F4A6D,,,Equipment Rental
United Rentals - Coventry Twp,,Mark Walker,(330) 724-7635,,2292 S. Arlington Rd,Coventry Twp,OH,41.008537,-81.4920542,#2F4A6D,,,Equipment Rental
United Rentals - Dayton,,Richard Hart,(937) 235-5395,,5773 Executive Blvd.,Dayton,OH,39.872304,-84.134395,#2F4A6D,,,Equipment Rental
United Rentals - Cincinnati,,Scott Rudolph,(513) 346-2800,,898 East Crescentville Rd,Cincinnati,OH,39.301624,-84.453517,#2F4A6D,,,Equipment Rental
United Rentals - Cleveland,,Joseph Pannitto,(216) 749-3400,,13960 Brookpark Rd,Cleveland,OH,41.4187168,-81.7249285,#2F4A6D,,,Equipment Rental
United Rentals - Columbus,,Joshua Sets,(614) 279-6352,,1825 McKenley Ave.,Columbus,OH,39.964189,-83.050801,#2F4A6D,,,Equipment Rental
United Rentals - Groveport,,Jordan Denson,(614) 335-5356,,4141 Hamilton Square,Groveport,OH,39.869018,-82.884914,#2F4A6D,,,Equipment Rental
United Rentals - Westerville,,Brandon Gerhardt,(614) 541-2696,,5755 Westeville Rd,Westerville,OH,40.05986,-84.020759,#2F4A6D,,,Equipment Rental
United Rentals - Dublin,,Nicholas Toups,(614) 335-5357,,7570 Fishel Dr S,Dublin,OH,40.102689,-83.192341,#2F4A6D,,,Equipment Rental
United Rentals - West Chester,,Josh Straight,(513) 845-0150,,4764 Ashley Dr,West Chester,OH,39.3261206,-84.4643306,#2F4A6D,,,Equipment Rental
United Rentals - Lynchburg,,Roger Castillo,(434) 846-7368,,3560 Young Pl,Lynchburg,VA,37.3659952,-79.1664972,#2F4A6D,,,Equipment Rental
United Rentals - Fredericksburg,,Kevin Sledziona,(540) 710-5370,,4616 Lassen LN,Fredericksburg,VA,38.25999,-77.495127,#2F4A6D,,,Equipment Rental
United Rentals - Covington,,David Vincent,(540) 965-6569,,807 Grayson Ave,Covington,VA,37.777041,-79.970099,#2F4A6D,,,Equipment Rental
United Rentals - Winchester,,James Hartness,(540) 545-8383,,287 Welltown CT,Winchester,VA,39.231613,-78.143174,#2F4A6D,,,Equipment Rental
United Rentals - Manassas,,Ricky Lamot,(703) 368-6065,,9415 Wellington Rd,Manassas,VA,38.7517787,-77.4925396,#2F4A6D,,,Equipment Rental
United Rentals - Manassas,,Ricky Lamot,(703) 656-2130,,9485 Contractors CT,Manassas,VA,38.749404,-77.545065,#2F4A6D,,,Equipment Rental
United Rentals - Christiansburg,,Susan Stanger,(540) 382-9036,,1570 Radford Rd,Christianburg,VA,37.54812,-77.44675,#2F4A6D,,,Equipment Rental
United Rentals - Harrisonburg,,Jeremy Bryant,(540) 433-0011,,141 Leray CR,Harrisonburg,VA,38.548438,-78.794066,#2F4A6D,,,Equipment Rental
United Rentals - Chesapeake,,Pamela Newbern,(757) 543-5723,,4333 Bainbridge Blvd,Chesapeake,VA,36.7778964,-76.2839273,#2F4A6D,,,Equipment Rental
United Rentals - Glen Allen,,Audrey Bondurant,(804) 550-2978,,10374 Washington Hwy,Glen Allen,VA,37.6771618,-77.5027925,#2F4A6D,,,Equipment Rental
United Rentals - Hampton,,Paul Reca,(757) 247-5891,,2327 W Pembroke Ave,Hampton,VA,37.0034706,-76.3978665,#2F4A6D,,,Equipment Rental
United Rentals - Chester,,Michael Lotti,(804) 768-2266,,11200 Iron Bridge Rd,Chester,VA,37.3497001,-77.4719805,#2F4A6D,,,Equipment Rental
United Rentals - Sterling,,Michael Chaney,(703) 327-2800,,23535 Overland Drive,Sterling,VA,38.960426,-77.503131,#2F4A6D,,,Equipment Rental
United Rentals - Roanoke,,Michael Damiano,(540) 345-8665,,1238 Orange Ave,Roanoke,VA,37.28458,-79.9204786,#2F4A6D,,,Equipment Rental
United Rentals - Charlottesville,,Christopher Caole,(434) 977-8196,,1745 Avon Street Ext,Charlottesville,VA,37.9976977,-78.4988354,#2F4A6D,,,Equipment Rental
United Rentals - Newport News,,Waylon Wakefield,(757) 874-5013,,600 Industrial Park,Newport News,VA,37.164591,-76.5399755,#2F4A6D,,,Equipment Rental
United Rentals - Triangle,,Sunny Thapa,(703) 221-4000,,18309 Richmond Hwy,Triangle,VA,38.5510721,-77.3338602,#2F4A6D,,,Equipment Rental
United Rentals - Richmond,,Charles Drummond,(804) 233-7368,,1500 Commerce Rd,Richmond,VA,37.5086244,-77.4289088,#2F4A6D,,,Equipment Rental
United Rentals - Richmond,,Charles Drummond,(804) 288-0018,,6520 W Broad St,Richmond,VA,37.5611575,-77.4677491,#2F4A6D,,,Equipment Rental
United Rentals - Virginia Beach,,Jason Guida,(757) 974-0200,,1344 Taylor Farm Rd,Virginia Beach,VA,36.7953786,-76.062974,#2F4A6D,,,Equipment Rental
United Rentals - State College,,Jeffrey Knott,(814) 237-3325,,1005 W College Ave,State College,PA,40.7863024,-77.8729262,#2F4A6D,,,Equipment Rental
United Rentals - Washington,,Andrea Mueller,(724) 225-6200,,1600 Jefferson Ave,Washington,PA,40.18844,-80.272922,#2F4A6D,,,Equipment Rental
United Rentals - Lancaster,,John Aversa,(717) 393-8969,,1550 Commerce Dr,Lancaster,PA,40.0788179,-76.3408597,#2F4A6D,,,Equipment Rental
United Rentals - Duncansville,,Jeffrey Knott,(814) 696-4151,,667 Broad St,Duncansville,PA,40.432727,-78.434995,#2F4A6D,,,Equipment Rental
United Rentals - Allentown,,Michael Lynn,(610) 791-9870,,2201 28th St SW,Allentown,PA,40.5620331,-75.4792481,#2F4A6D,,,Equipment Rental
United Rentals - Clairton,,David Kline,(412) 226-6010,,221 State St,Clairton,PA,40.2994363,-79.8762233,#2F4A6D,,,Equipment Rental
United Rentals - Oakdale,,Ronald Cooper,(724) 695-9293,,2000 Imperial Industrial Park,Oakdale,PA,40.403974,-80.189137,#2F4A6D,,,Equipment Rental
United Rentals - Butler,,David Ferroni,(724) 586-5500,,601 Pittsburgh Rd,Butler,PA,40.761935,-79.9239,#2F4A6D,,,Equipment Rental
United Rentals - Mechanicsburg,,Larry Heagy,(717) 766-4713,,825 Gettysburg Rd,Mechanicsburg,PA,40.204286,-76.9663647,#2F4A6D,,,Equipment Rental
United Rentals - Philadelphia,,Michael Myers,(215) 744-4510,,3880 E. Thompson St,Philadelphia,PA,39.9935363,-75.0872298,#2F4A6D,,,Equipment Rental
United Rentals - York,,Justus Shearer,(717) 767-6448,,4 Interchange Pl,York,PA,40.0190858,-76.7400479,#2F4A6D,,,Equipment Rental
United Rentals - Hanover Twp,,Michael Biesecker,(570) 825-4786,,2225 Sans Souci Parkway,Hanover Twp,PA,41.2097534,-75.9727864,#2F4A6D,,,Equipment Rental
United Rentals - Montoursville,,Brian McLauchlin,(570) 601-4484,,2968 Barneys Dr,Montoursville,PA,41.249579,-76.937153,#2F4A6D,,,Equipment Rental
United Rentals - Conshohocken,,Kenneth Murphy,(610) 279-5777,,1010 Conshohocken Rd,Conshohocken,PA,40.0665176,-75.3071928,#2F4A6D,,,Equipment Rental
United Rentals - Eddystone,,Brian Bartoszek,(610) 497-2290,,3000 Industrial Highway,Eddystone,PA,39.8583551,-75.3383968,#2F4A6D,,,Equipment Rental
United Rentals - West Chester,,Louis Sordini,(610) 942-0482,,800 E Virginia Ave,West Chester,PA,39.9729603,-75.5965936,#2F4A6D,,,Equipment Rental
United Rentals - Allentown,,Wayne Lenhart,(484) 551-5000,,211 Lloyd St,Allentown,PA,40.6342512,-75.4364747,#2F4A6D,,,Equipment Rental
United Rentals - Utica,,Jason Schelle,(586) 731-7070,,12000 23 Mile Road,Utica,MI,42.669683,-83.010221,#2F4A6D,,,Equipment Rental
United Rentals - Saginaw,,Alex Payne,(989) 900-0730,,2805 Diesel Park Dr,Saginaw,MI,43.414783,-83.929981,#2F4A6D,,,Equipment Rental
United Rentals - Negaunee,,Bobby Johnson,(906) 225-7346,,363 East US 41,Negaunee,MI,46.5063951,-87.607219,#2F4A6D,,,Equipment Rental
United Rentals - Romulus,,Daniel Dewar,(734) 955-9291,,13461 Huron River Drive,Romulus,MI,42.2050182,-83.404347,#2F4A6D,,,Equipment Rental
United Rentals - Grand Rapids,,Daniel Flynn,(616) 364-7031,,2122 Turner Ave. NW,Grand Rapids,MI,42.9955502,-85.6783149,#2F4A6D,,,Equipment Rental
United Rentals - Lansing,,Richard Toaso,(517) 318-0729,,3524 Canal Road,Lansing,MI,42.6961549,-84.663133,#2F4A6D,,,Equipment Rental
United Rentals - Huntington,,Caleb Adams,(304) 429-1260,,1501 Jackson Ave,Huntington,WV,38.406703,-82.479492,#2F4A6D,,,Equipment Rental
United Rentals-Bridgeport,,Mark Garrison,304-848-3910,,1978 Meadowbrook Rd.,Bridgeport,WV,39.3443908,-80.2991885,#2F4A6D,,,Equipment Rental
United Rentals- Beckley,,David Vincent,304-255-6785,,307 N Eisenhower Dr.,Beckley,WV,37.7842205,-81.169741,#2F4A6D,,,Equipment Rental
United Rentals-Cross Lanes,,Steven Tankersley,304-776-7158,,573 New Goff Mountain Rd.,Cross Lanes,WV,38.403825,-81.78992,#2F4A6D,,,Equipment Rental
United Rentals -Princeton,,Albert Minter,304-487-3809,,319 Oakvale Rd.,Princeton,WV,37.3664724,-81.0734009,#2F4A6D,,,Equipment Rental
Columbus Equipment Co,,Corp. Office,614-443-6541,info@columbusequipment.com,2323 Performance Way,Columbus,OH,39.9180612,-82.9390957,#2F4A6D,,,Equipment Rental
Cadiz,,,740-942-8871,info@columbusequipment.com,290 Old Steubenville Pike,Cadiz,OH,40.2835859,-80.9841377,#2F4A6D,,,Equipment Rental
Cincinnati,,,513-771-3922,info@columbusequipment.com,712 Shepherd Ave.,Cincinnati ,OH,39.233699,-84.447081,#2F4A6D,,,Equipment Rental
Dayton,,,937-879-3154,info@columbusequipment.com,7570 New Carlisle Pike,Dayton,OH,39.858533,-84.060708,#2F4A6D,,,Equipment Rental
Massillon,,,330-833-2420,info@columbusequipment.com,2200 Venture Circle SE,Massillon,OH,40.7702344,-81.4783082,#2F4A6D,,,Equipment Rental
Piketon,,,740-289-3757,info@columbusequipment.com,3668 US Route 23 South,Piketon,OH,39.010704,-83.025986,#2F4A6D,,,Equipment Rental
Richfield,,,330-659-6681,info@columbusequipment.com,3942 Brecksville Rd.,Richfield,OH,41.2434784,-81.6379853,#2F4A6D,,,Equipment Rental
Perrysburg,,,419-872-7101,info@columbusequipment.com,12500 Williams Rd.,Perrysburg,OH,41.5291952,-83.6330293,#2F4A6D,,,Equipment Rental
Zanesville,,,740-455-4036,info@columbusequipment.com,818 Lee St.,Zanesville,OH,39.9440544,-82.0167139,#2F4A6D,,,Equipment Rental
ABC Equipment,,,,,,,,39.7837304,-100.445882,#2F4A6D,,,Equipment Rental
Brunswick Store,,,330-220-4545,,29 Pearl Rd.,Brunswick,OH,41.275001,-81.836159,#2F4A6D,,,Equipment Rental
Avon Store,,,440-934-7368,,38525 Chester Rd.,Avon,OH,41.466892,-82.0539748,#2F4A6D,,,Equipment Rental
Sunbelt Rentals,,,,,,,,39.7837304,-100.445882,#2F4A6D,,,Equipment Rental
Cleveland,,,216-415-3230,pcm361@sunbeltrentals.com,18200 S Waterloo Rd.,Cleveland,OH,41.5761302,-81.5522257,#2F4A6D,,,Equipment Rental
Peninsula,,,330-650-9090,pcm212@sunbeltrentals.com,5162 Akron Cleveland Rd.,Peninsula,OH,41.209137,-81.49291,#2F4A6D,,,Equipment Rental
Cortland,,,330-372-5100,pcm1080@sunbeltrentals.com,2229 State Route 5,Cortland,OH,41.285901,-80.767691,#2F4A6D,,,Equipment Rental
Cleveland,,,216-362-0300,pcm242@sunbeltrentals.com,13800 Brookpark Rd.,Cleveland,OH,41.4202435,-81.8408409,#2F4A6D,,,Equipment Rental
Akron,,,330-724-2100,pcm1110@sunbeltrentals.com,676 E Waterloo Rd.,Akron,OH,41.0293326,-81.501112,#2F4A6D,,,Equipment Rental
Hermitage,,,724-981-5800,pcm1875@sunbeltrentals.com,2976 E State St,Hermitage,PA,41.2329675,-80.4549403,#2F4A6D,,,Equipment Rental
Elyria,,,440-324-1855,pcm552@sunbeltrentals.com,6438 Lorain Blvd.,Elyria,OH,41.4087687,-82.1179296,#2F4A6D,,,Equipment Rental
Canton,,,330-305-5200,ethan.zerk@sunbeltrentals.com,2600 Harrison Ave NW,Canton,OH,40.824847,-81.3938562,#2F4A6D,,,Equipment Rental
Meadville,,,814-336-2336,pcm1481@sunbeltrentals.com,1355 S Main St.,Meadville,PA,41.6269473,-80.1543113,#2F4A6D,,,Equipment Rental
New Castle,,,724-658-2400,alex.kilgore@sunbeltrentals.com,3587 Clover Ln.,New Castle,PA,41.068617,-80.3626586,#2F4A6D,,,Equipment Rental
Warrendale,,,724-553-7335,shaun.byrne@sunbeltrentals.com,215 Thorn Hill Rd.,Warrendale,PA,40.667147,-80.102147,#2F4A6D,,,Equipment Rental
Ontario,,,419-747-1000,pcm209@sunbeltrentals.com,2145 Walker Lake Rd.,Ontario,OH,40.7867288,-82.5912365,#2F4A6D,,,Equipment Rental
Pittsburgh,,,412-364-8630,pcm238@sunbeltrentals.com,5700 Grand Ave.,Pittsburgh,PA,40.475115,-80.025004,#2F4A6D,,,Equipment Rental
Imperial,,,724-227-3070,pcm1618@sunbeltrentals.com,40 Pattridge Ln.,Imperial,PA,40.434131,-80.252205,#2F4A6D,,,Equipment Rental
Atlantic Equipment,,,800-543-3350,info@atlanticeq.com,146 Railroad St.,Revere,MA,42.4026252,-71.0053091,#2F4A6D,,,Equipment Rental
Beltsville,,,240-621-1701,Cthompson@atlanticeq.com,"12104 Indian Creek Court, Suite H",Beltsville,MD,39.0570124,-76.8976164,#2F4A6D,,,Equipment Rental
Tampa,,,813-820-1181,wphaneuf@atlanticeq.com,4764 Distribution Dr Floor 1,Tampa,FL,27.9568194,-82.4062562,#2F4A6D,,,Equipment Rental
Orlando,,,800-331-2134,britchings@atlanticeq.com,1801 Acme St.,Orlando,FL,28.5279458,-81.4035852,#2F4A6D,,,Equipment Rental
Albany,,,518-729-5527,hedwards@atlanticeq.com,21 Railroad Ave Suit B ,Albany,NY,42.637973,-73.773496,#2F4A6D,,,Equipment Rental
The Shelly Company,,,,info@shellyco.com,,,,39.7837304,-100.445882,#2F5D50,,,Asphalt Plant
Alliance Rail Office,Aggregates,Hannah Lightener,(216) 618-1945,Hannah.Lightener@shellyco.com,2000 Beeson Street,Alliance,OH  44601,40.923507,-81.1345205,#2F5D51,,,Asphalt Plant
Athens Office/Facility,Ready Mix,Nick Hayek ,(740) 516-5651,,5240 Hebbardsville Road,Athens,OH  45701,39.276233,-82.154096,#2F5D52,,,Asphalt Plant
Auglaize Office/Facility,"aggregates, aglime",Dale Mathew ,(419) 303-5431,,13762 Road 179,Oakwood,OH  ,41.3579298,-81.4938912,#2F5D53,,,Asphalt Plant
Bedford Hts Office/Facility,"aggregates, aglime",Hannah Lightener,(216) 618-1945,,5444 Perkins Road,Bedford Hts,OH  44146,41.4118291,-81.49848,#2F5D54,,,Asphalt Plant
Belle Center Office/Facilities,"aggregates, asphalt",Shawn Scott,(419) 466-8750,,1558 County Road 105,Belle Center ,OH  43310,40.4771724,-83.7554978,#2F5D55,,,Asphalt Plant
Belpre Ofice/Facility,"Aggregates, Ready mix",Nick Hayek ,(740) 516-5651,,1680 St. Rte. 618,Belpre,OH  45714,39.276468,-81.59541,#2F5D56,,,Asphalt Plant
Brunswick Office/Facility,Ready Mix,Hal Lane                 Jack Shear, (330) 801-9980     (330) 321-8095,,1501 Industrial Pkwy South,Brunswick,OH  44212,41.104846,-81.4802493,#2F5D57,,,Asphalt Plant
Buckland Office/Facility,Asphalt,Dale Mathew  ,(419)303-5431,,18429 Main Street Road,Buckland,OH  45895,40.6019715,-84.267797,#2F5D58,,,Asphalt Plant
Cadiz Office/Facility,Ready Mix, Brian Shepherd , (330) 607-0228,,8799 Toot Road,Cadiz,OH  43907,40.3405572,-80.9825526,#2F5D59,,,Asphalt Plant
Cambridge Office/Facility,Ready Mix,Jeff Griffith , (740) 516-4330,,61539 Southgate Pkwy,Cambridge,OH  43725,39.98994,-81.573332,#2F5D60,,,Asphalt Plant
Canton Aggregate,Aggregates,Hannah Lightener,(216) 618-1945,,2905 Columbus Rd NE,Canton,OH  ,40.8382093,-81.3336829,#2F5D61,,,Asphalt Plant
Cardinal Office/Facility,Aggregates,Sam Schmitz ,(419) 392-2091,,8026 Fremont Pike,Perrysburg,OH  43551,41.5276961,-83.5490097,#2F5D62,,,Asphalt Plant
